bedroom,bathrooms,area,furnishing,floor_number,parking,powerbackup,gate_community,location,rent,location_encoded,furnishing_encoded
3,3,1530.0,Semifurnished,2,2,2,Yes,Atul Westernhills,28000.0,27,1
3,3,0.0,Semifurnished,7,1,0,Yes,Tuscan Estate Signature Meadows,35000.0,318,1
1,1,445.0,Semifurnished,1,1,1,Yes,Puraniks Aldea,14999.0,262,1
3,3,1350.0,Semifurnished,1,1,0,Yes,Paranjape Blue Ridge,27000.0,236,1
1,1,0.0,Unfurnished,4,1,0,No,Swaraj Residency,9500.0,306,2
2,2,1000.0,Furnished,6,1,1,Yes,Green valley,26000.0,103,0
1,1,475.0,Unfurnished,2,1,0,No,Pimple Gurav,8500.0,246,2
2,2,1100.0,Unfurnished,1,1,0,No,Mahesh Society,23000.0,173,2
1,1,453.0,Unfurnished,6,1,2,Yes,Gemini Grand Bay,10000.0,84,2
3,3,1450.0,Furnished,6,2,2,Yes,Geras Song Of Joy,35000.0,88,0
2,2,0.0,Furnished,0,3,0,No,Karve Nagar,24000.0,129,0
2,2,1000.0,Unfurnished,3,1,2,Yes,Sudhir Mandke Advantage Homes,19000.0,303,2
3,3,0.0,Semifurnished,4,1,0,Yes,Magarpatta Cosmos Apartment,30000.0,170,1
2,2,910.0,Unfurnished,9,1,1,Yes,Kolte Patil Downtown Langston,22500.0,142,2
2,2,0.0,Semifurnished,2,0,0,No,Karve Nagar,18000.0,129,1
3,3,0.0,Semifurnished,1,2,2,Yes,Bramhacorp F Residences,32000.0,45,1
2,2,0.0,Unfurnished,1,0,0,No,Aishwaryam Hamara,11000.0,11,2
2,2,559.0,Unfurnished,5,1,0,Yes,SKYi Star Towers,12000.0,283,2
2,2,899.0,Semifurnished,2,1,2,Yes,Megapolis Sangria Towers,17000.0,194,1
2,2,0.0,Semifurnished,1,1,0,No,Mundhwa,19000.0,206,1
1,1,0.0,Unfurnished,0,0,0,No,Chandan Nagar,9000.0,48,2
1,2,950.0,Furnished,0,1,2,Yes,Godrej Infinity,20000.0,94,0
1,1,0.0,Unfurnished,0,0,0,No,Kharadi,6000.0,134,2
1,1,466.0,Unfurnished,3,1,2,Yes,Nanded City,10000.0,209,2
1,2,0.0,Unfurnished,9,1,0,Yes,Magarpatta Annex,15000.0,166,2
1,2,355.0,Furnished,7,1,0,No,GK Dayal Heights,16000.0,72,0
1,1,640.0,Furnished,1,1,2,Yes,Hill Shire,11000.0,108,0
2,2,790.0,Unfurnished,9,1,2,Yes,Megapolis Sparklet,18000.0,195,2
3,2,1130.0,Semifurnished,1,1,0,No,Kothrud,30000.0,149,1
1,1,350.0,Furnished,3,1,1,Yes,nul,4500.0,341,0
3,3,1500.0,Unfurnished,5,1,2,Yes,Clover Highlands,33500.0,51,2
2,2,1200.0,Furnished,5,1,1,Yes,Neco Gardens,25000.0,211,0
3,3,1900.0,Semifurnished,1,1,2,Yes,Kolte Patil 24K Opula,45000.0,141,1
1,1,0.0,Unfurnished,1,0,0,No,Manjari Budruk,5000.0,180,2
1,2,0.0,Semifurnished,2,1,0,No,Hadapsar,12000.0,105,1
1,1,380.0,Furnished,4,0,2,Yes,Xrbia City,6500.0,338,0
1,1,400.0,Semifurnished,1,0,0,No,Wadgaon Sheri,9500.0,333,1
2,2,725.0,Semifurnished,6,1,1,Yes,Godrej Infinity,17500.0,94,1
1,2,600.0,Unfurnished,6,1,0,No,Venkatesh Oxy Ultima,9500.0,326,2
2,2,0.0,Unfurnished,3,1,0,Yes,Xrbia Hinjewadi,7000.0,339,2
1,2,500.0,Unfurnished,3,1,0,No,Venkatesh Oxy Ultima,8500.0,326,2
2,2,870.0,Semifurnished,1,1,2,Yes,Duville Riverdale Heights,20000.0,65,1
2,2,0.0,Semifurnished,2,1,2,No,Akurdi,16000.0,13,1
2,2,850.0,Unfurnished,7,1,2,Yes,Lohia Vallonia,22000.0,163,2
1,1,500.0,Semifurnished,8,1,2,Yes,Magarpatta Heliconia,14000.0,171,1
2,2,980.0,Semifurnished,1,1,2,Yes,Magarpatta City Daffodils,21000.0,167,1
1,1,550.0,Unfurnished,1,1,0,No,Aple Ghar Society,9500.0,23,2
1,1,495.0,Unfurnished,2,1,1,Yes,Paranjape Blue Ridge,10000.0,236,2
1,2,0.0,Semifurnished,4,1,0,No,GK Royale Hills,11000.0,76,1
2,2,789.0,Semifurnished,1,1,2,Yes,Bhandari Savannah,12000.0,37,1
1,1,0.0,Furnished,1,1,0,Yes,Karia Konark Orchid,15500.0,128,0
3,2,0.0,Semifurnished,1,1,0,No,Kalpataru Estate,22000.0,120,1
1,1,0.0,Semifurnished,0,0,0,No,New Sanghvi,8000.0,213,1
3,3,950.0,Unfurnished,4,1,2,Yes,Dheeraj Jade Residences,15000.0,60,2
1,1,0.0,Semifurnished,3,1,2,Yes,Magarpatta Annex,17500.0,166,1
2,2,0.0,Unfurnished,7,1,0,No,Marvel Zephyr,35000.0,192,2
2,2,1000.0,Unfurnished,3,1,2,Yes,Dorabjee Enclave,18000.0,62,2
2,2,425.0,Unfurnished,6,1,0,No,Xrbia Hinjewadi,7000.0,339,2
3,3,2500.0,Unfurnished,3,2,1,Yes,Marvel Sangria,40000.0,191,2
1,1,550.0,Furnished,2,1,0,Yes,Karia Konark Nagar,22000.0,127,0
1,1,0.0,Unfurnished,0,0,0,Yes,Pimple Gurav,7000.0,246,2
4,4,0.0,Semifurnished,8,1,2,Yes,Panchshil One North,24768.73599,230,1
4,5,0.0,Furnished,1,2,0,No,Panchshil Eon Waterfront,75000.0,229,0
2,2,900.0,Semifurnished,1,1,1,Yes,Megapolis Sparklet,18000.0,195,1
3,3,1300.0,Furnished,1,1,2,Yes,Kohinoor Tinsel Town Phase 2,36000.0,138,0
2,2,650.0,Unfurnished,7,1,0,No,Gandhi Bafna Ayaan,17000.0,81,2
2,2,900.0,Unfurnished,5,0,0,No,Majestique Magnum,12000.0,176,2
3,3,1400.0,Unfurnished,3,1,2,Yes,Brahma Aangan,28000.0,39,2
3,2,0.0,Semifurnished,2,1,0,Yes,Amanora Park Town,22000.0,18,1
3,3,1550.0,Semifurnished,7,1,0,No,Shirine Garden,30000.0,295,1
1,1,650.0,Unfurnished,1,1,1,Yes,Mantra 24 West,9000.0,182,2
2,2,950.0,Furnished,1,1,2,No,Gami Koregaon,40000.0,80,0
2,2,0.0,Semifurnished,5,1,2,Yes,Goel Hari Ganga,22000.0,100,1
1,1,500.0,Unfurnished,0,2,0,No,Lohegaon,7000.0,162,2
4,4,0.0,Semifurnished,0,2,0,No,Baner,60000.0,31,1
1,1,0.0,Semifurnished,2,1,0,No,Lohegaon,6500.0,162,1
3,3,1350.0,Semifurnished,1,2,2,Yes,AWHO Vijay Vihar,15000.0,6,1
2,2,0.0,Furnished,1,1,0,No,Megapolis Sangria Towers,20000.0,194,0
2,1,0.0,Unfurnished,0,0,0,Yes,Wadgaon Sheri,20000.0,333,2
3,3,68.42,Unfurnished,3,1,0,Yes,Bramhacorp F Residences,31000.0,45,2
1,1,0.0,Unfurnished,2,2,0,Yes,Pimpri Chinchwad,4500.0,247,2
1,1,0.0,Unfurnished,0,0,0,No,Vadgaon Sheri,6500.0,320,2
1,2,650.0,Unfurnished,3,1,2,Yes,Kohinoor Tinsel County,11000.0,136,2
2,2,850.0,Semifurnished,6,1,1,Yes,Ideal Spacio,20000.0,111,1
2,2,800.0,Unfurnished,1,1,1,Yes,Pride World City,15000.0,255,2
2,2,1000.0,Unfurnished,5,1,1,Yes,Goel Ganga Constella,22000.0,96,2
2,2,0.0,Semifurnished,5,1,2,Yes,Magarpatta Cosmos Apartment,22000.0,170,1
1,1,550.0,Unfurnished,3,1,0,Yes,Vishrant Housing Society,12000.0,330,2
1,1,0.0,Unfurnished,0,0,0,No,Vadgaon Sheri,8000.0,320,2
2,2,0.0,Semifurnished,2,1,0,No,Chandan Nagar,13000.0,48,1
1,1,480.0,Unfurnished,1,1,2,No,Duville Riverdale Heights,16000.0,65,2
2,2,0.0,Semifurnished,0,1,0,No,Megapolis Sparklet,17000.0,195,1
3,3,0.0,Furnished,7,1,1,Yes,Paranjape Blue Ridge,29000.0,236,0
3,3,0.0,Semifurnished,6,1,2,Yes,Goel Ganga Satellite,34000.0,99,1
2,1,0.0,Unfurnished,0,0,0,Yes,Tingre Nagar,12000.0,316,2
2,2,0.0,Semifurnished,4,1,2,Yes,Hari Ganga,25000.0,106,1
1,1,0.0,Unfurnished,0,0,0,No,Keshav Nagar,6500.0,133,2
3,5,2000.0,Unfurnished,7,1,2,Yes,Marvel Sangria,40000.0,191,2
2,2,0.0,Furnished,2,1,1,Yes,Goel Ganga Orchard,28000.0,98,0
2,2,0.0,Unfurnished,5,1,0,Yes,Magarpatta City Iris,18000.0,168,2
1,1,502.0,Semifurnished,1,1,0,No,Paranjape Blue Ridge,14000.0,236,1
1,1,500.0,Semifurnished,4,1,1,Yes,K Raheja Gardens,13000.0,114,1
2,2,1000.0,Furnished,9,1,2,Yes,Marvel Cerise,37000.0,188,0
1,1,0.0,Unfurnished,2,0,0,No,Pimple Gurav,7000.0,246,2
3,3,2960.0,Unfurnished,0,1,2,Yes,Clover Highlands,40000.0,51,2
2,2,769.0,Semifurnished,1,1,1,Yes,Pebbles Urbania,19000.0,240,1
3,2,870.0,Semifurnished,8,1,1,Yes,Sai Sanskruti,15000.0,286,1
2,2,758.0,Semifurnished,1,0,0,No,TCG The Cliff Garden,18000.0,307,1
2,2,565.0,Semifurnished,8,1,2,Yes,Gandhi Bafna Ayaan,18000.0,81,1
3,3,1300.0,Unfurnished,6,1,1,Yes,Clover Village,30000.0,52,2
3,4,0.0,Furnished,7,2,2,Yes,Lunkad Sky Vie,60000.0,164,0
2,2,1200.0,Semifurnished,6,1,0,No,Megapolis Sunway,20000.0,197,1
2,2,797.0,Semifurnished,9,1,2,Yes,Rohan Abhilasha,14500.0,276,1
2,2,1026.0,Unfurnished,1,1,2,Yes,Magarpatta City Jasminium,19000.0,169,2
3,3,0.0,Furnished,1,1,2,Yes,Gini Bellissimo,26000.0,90,0
2,1,620.0,Unfurnished,4,1,0,Yes,Mundhwa,10000.0,206,2
4,3,2600.0,Semifurnished,1,0,2,Yes,Nyati Esteban 1,40000.0,221,1
1,1,0.0,Unfurnished,3,0,0,No,Dhankawadi,7500.0,58,2
2,2,1000.0,Semifurnished,1,1,0,Yes,AWHO Vijay Vihar,15000.0,6,1
1,1,550.0,Furnished,1,0,0,No,Pristine Prism,15000.0,257,0
1,1,442.0,Unfurnished,3,0,0,No,Pimpri Chinchwad,11000.0,247,2
1,1,650.0,Unfurnished,5,1,1,Yes,Hermes Heritage,14000.0,107,2
1,1,0.0,Unfurnished,2,1,0,No,Hadapsar,5000.0,105,2
2,2,0.0,Furnished,8,1,1,No,Aishwaryam Ventures,15000.0,12,0
1,1,0.0,Unfurnished,2,0,0,No,Gokul Nagar,7500.0,102,2
3,3,1100.0,Unfurnished,5,1,1,Yes,Ganga Platino,40000.0,82,2
3,3,1650.0,Semifurnished,1,1,2,Yes,Bramhacorp F Residences,35000.0,45,1
1,3,1000.0,Unfurnished,1,1,0,Yes,Paramount Altissimo,8667.0,234,2
2,2,0.0,Furnished,3,1,2,Yes,Marvel Cerise,35000.0,188,0
2,2,910.0,Unfurnished,1,1,2,Yes,Bhairav Nagar,14000.0,35,2
2,2,800.0,Unfurnished,1,1,2,Yes,Margosa heights,13000.0,185,2
2,2,900.0,Unfurnished,7,1,2,Yes,Cozy Homes,11000.0,53,2
3,2,790.0,Semifurnished,2,1,2,Yes,Megapolis Sangria Towers,20005.0,194,1
1,1,517.0,Unfurnished,2,0,0,No,Chandan Nagar,8500.0,48,2
2,1,810.0,Unfurnished,2,1,0,No,Dreams Elina,13500.0,64,2
1,1,300.0,Unfurnished,1,1,0,No,Maharashtra Housing Board,5000.0,172,2
4,4,2500.0,Furnished,1,1,2,Yes,Panchshil Waterfront,24768.73599,233,0
2,2,1000.0,Semifurnished,8,2,0,Yes,Kolte Patil Downtown Langston,35000.0,142,1
1,1,480.0,Semifurnished,9,1,1,Yes,Puranik Aldea Espanola,14000.0,260,1
1,2,0.0,Semifurnished,1,0,0,No,Gokhale Nagar,18000.0,101,1
2,2,900.0,Semifurnished,1,1,2,Yes,Megapolis Sangria Towers,20000.0,194,1
2,2,1000.0,Semifurnished,3,1,1,Yes,Forest County,27000.0,69,1
2,2,950.0,Unfurnished,3,1,2,Yes,Clover Village,23000.0,52,2
2,2,900.0,Unfurnished,7,1,1,Yes,Ishwar River Residency,13000.0,113,2
1,1,0.0,Unfurnished,8,1,0,Yes,Kolte Patil Life Republic,12999.0,145,2
3,3,0.0,Semifurnished,2,1,2,Yes,Amanora Neo Towers,42000.0,17,1
2,1,1100.0,Semifurnished,6,0,0,No,Neco Gardens,22000.0,211,1
2,2,797.0,Unfurnished,2,1,0,No,Rohan Abhilasha,14500.0,276,2
2,2,0.0,Furnished,7,1,2,Yes,Panchshil Satellite Towers,48000.0,231,0
2,2,907.0,Unfurnished,8,1,0,No,Bramhacorp F Residences,25000.0,45,2
2,2,62.67,Unfurnished,2,0,0,No,Leisure Town,16500.0,160,2
3,4,2100.0,Furnished,2,1,2,Yes,Tata Housing Blue Hills,50000.0,309,0
1,1,0.0,Unfurnished,0,1,0,No,Hadapsar,4500.0,105,2
2,2,0.0,Furnished,5,1,0,Yes,Teerth Towers,22000.0,311,0
2,2,930.0,Furnished,5,1,2,Yes,Magarpatta City Iris,17999.0,168,0
1,1,550.0,Semifurnished,3,1,1,Yes,Bhandari Nea Plus,12500.0,36,1
2,2,1000.0,Semifurnished,5,1,0,Yes,Megapolis Sparklet,16000.0,195,1
1,1,525.0,Furnished,4,1,2,Yes,Prem Mairah Residences,12570.0,250,0
1,1,510.0,Unfurnished,1,0,0,No,Wadgaon Sheri,9000.0,333,2
2,3,0.0,Semifurnished,5,1,0,Yes,Lohia Vallonia,25000.0,163,1
1,1,650.0,Unfurnished,1,0,0,No,On req,10000.0,227,2
2,2,0.0,Furnished,3,0,0,No,On Req,23000.0,226,0
2,2,0.0,Furnished,4,1,1,Yes,Goel Ganga Orchard,26000.0,98,0
2,2,0.0,Semifurnished,3,1,2,Yes,GK Rose Valley,20000.0,74,1
1,1,0.0,Unfurnished,3,0,0,No,Dhanori,3500.0,59,2
3,3,0.0,Furnished,1,1,0,No,AWHO Vijay Vihar,30000.0,6,0
2,2,800.0,Unfurnished,7,1,2,Yes,Puraniks Abitante,16000.0,261,2
3,3,1360.0,Furnished,5,0,2,Yes,Rohan Mithila,39000.0,278,0
3,3,1450.0,Furnished,1,0,0,Yes,Godrej Infinity,5500.0,94,0
1,1,0.0,Unfurnished,2,0,0,No,Hadapsar,5500.0,105,2
1,1,0.0,Unfurnished,1,0,0,No,Vishrantwadi,11500.0,331,2
1,1,601.0,Unfurnished,0,0,0,No,Kharadi,8100.0,134,2
2,2,783.27,Unfurnished,1,1,0,No,Goel Ganga Legend County,22000.0,97,2
2,2,1000.0,Furnished,8,0,2,Yes,Goel Hari Ganga,27000.0,100,0
2,2,850.0,Semifurnished,3,1,2,No,Gami Koregaon,22000.0,80,1
1,2,458.0,Unfurnished,3,1,0,No,Tata La Montana,6500.0,310,2
2,2,1320.0,Semifurnished,1,1,1,Yes,K Raheja Vistas Premiere,28000.0,115,1
3,3,1101.0,Semifurnished,8,1,1,Yes,AG Imperial Towers,20000.0,2,1
2,2,0.0,Furnished,3,1,2,Yes,Kumar Samruddhi,30000.0,157,0
3,3,1500.0,Semifurnished,1,1,2,Yes,AWHO Vijay Vihar,20000.0,6,1
3,3,836.0,Semifurnished,7,2,2,Yes,Vilas Javdekar Yashwin Hinjewadi,21000.0,327,1
2,3,814.0,Semifurnished,6,1,1,Yes,Lohia Vallonia,23000.0,163,1
2,2,0.0,Semifurnished,4,1,0,No,On Req,15000.0,226,1
3,3,2960.0,Unfurnished,0,1,2,No,Clover Highlands,45000.0,51,2
1,1,0.0,Unfurnished,0,2,0,No,Phursungi,5500.0,245,2
2,2,980.0,Semifurnished,4,1,1,Yes,Runwal Seagull,15000.0,282,1
2,2,1000.0,Semifurnished,1,1,2,Yes,Ideal Spacio,18000.0,111,1
1,1,0.0,Unfurnished,1,0,0,No,Mittal Parkwayz,17000.0,200,2
3,3,0.0,Semifurnished,1,1,0,No,The Omega Paradise Phase 1,35000.0,313,1
3,3,1200.0,Unfurnished,1,1,2,Yes,Clover Village,31000.0,52,2
3,3,1050.0,Unfurnished,9,1,2,Yes,Pristine Prolife,20000.0,258,2
1,1,600.0,Semifurnished,2,1,1,Yes,Clover Village,17000.0,52,1
3,3,1100.0,Unfurnished,3,1,2,Yes,Devi Sacred Heart Town,29000.0,57,2
1,1,750.0,Unfurnished,0,0,0,No,Vadgaon Sheri,11100.0,320,2
1,1,0.0,Unfurnished,0,0,0,No,Vadgaon Sheri,8500.0,320,2
2,2,450.0,Semifurnished,2,1,1,Yes,Rakshak Nagar Society,18000.0,269,1
1,1,475.0,Furnished,0,3,0,No,Keshav Nagar,9000.0,133,0
3,3,1600.0,Semifurnished,3,2,2,Yes,Gera Emerald City,30000.0,85,1
2,2,960.0,Unfurnished,7,1,1,Yes,Hill Shire,12000.0,108,2
2,2,0.0,Unfurnished,1,1,0,No,Hadapsar,11500.0,105,2
1,1,0.0,Unfurnished,3,0,0,No,Pashan,12000.0,239,2
2,2,850.0,Unfurnished,0,1,1,Yes,Raviraj Rakshaknagar Gold,18000.0,274,2
2,2,907.0,Semifurnished,1,1,1,Yes,Bramhacorp F Residences,25000.0,45,1
3,2,1200.0,Furnished,2,1,1,Yes,Planet Millennium CHS,30000.0,248,0
2,2,920.0,Unfurnished,9,1,2,Yes,Bramha Avenue,17000.0,40,2
2,2,1100.0,Furnished,1,1,1,Yes,Kumar Park Infinia,22000.0,153,0
2,2,650.0,Semifurnished,8,1,2,Yes,Nyati Elan,14500.0,217,1
1,1,460.0,Unfurnished,8,1,2,No,Paranjape Blue Ridge,10000.0,236,2
2,2,900.0,Furnished,3,1,2,Yes,Magarpatta City Iris,19000.0,168,0
1,2,450.0,Unfurnished,7,0,1,Yes,Kohinoor Tinsel County,14000.0,136,2
1,1,416.0,Unfurnished,1,1,0,Yes,Geras Adara,12000.0,87,2
2,2,837.0,Unfurnished,1,1,1,Yes,Kolte Patil Life Republic,14000.0,145,2
2,2,0.0,Semifurnished,4,1,0,Yes,Parmar Marudhar Residency,24000.0,238,1
2,2,811.0,Unfurnished,6,1,0,No,Mittal Arc Vista,16500.0,199,2
2,2,587.0,Unfurnished,1,1,1,Yes,ITrend Homes,20000.0,110,2
2,2,638.0,Semifurnished,7,0,2,Yes,Gini Bellissimo,18000.0,90,1
2,2,601.0,Semifurnished,7,1,2,No,Nyati Elan,13000.0,217,1
3,2,572.0,Unfurnished,2,1,2,No,Xrbia Hinjewadi,8500.0,339,2
2,2,850.0,Semifurnished,1,1,1,Yes,Amit Astonia Classic,15000.0,21,1
1,1,0.0,Unfurnished,0,0,0,No,Laxmi Nagar,10000.0,159,2
3,3,1400.0,Unfurnished,5,1,2,Yes,Bramha Exuberance,25000.0,41,2
1,1,430.0,Unfurnished,1,1,1,Yes,Siddhashila Eela,11000.0,296,2
1,1,550.0,Unfurnished,5,1,0,Yes,TCG The Cliff Garden,14000.0,307,2
2,2,766.0,Semifurnished,1,1,2,Yes,Kumar Park Infinia,16000.0,153,1
1,1,480.0,Unfurnished,6,1,1,Yes,Goel Ganga Constella,15000.0,96,2
3,3,1300.0,Unfurnished,5,1,2,Yes,Sudhir Mandke Advantage Homes,27000.0,303,2
2,2,800.0,Semifurnished,2,1,0,No,Venkatesh Oxy Ultima,10000.0,326,1
1,1,250.0,Unfurnished,0,1,0,No,Lohegaon,4500.0,162,2
1,1,0.0,Semifurnished,0,0,0,No,Wakad,20000.0,335,1
2,2,0.0,Unfurnished,1,1,2,No,Yashwin Apartment,17000.0,340,2
1,1,280.0,Unfurnished,0,0,0,No,On Req,9000.0,226,2
2,2,800.0,Semifurnished,1,1,0,No,Megapolis Splendour,16000.0,196,1
1,1,750.0,Unfurnished,0,1,0,No,Wagholi,5500.0,334,2
2,2,666.0,Unfurnished,5,1,0,No,Goel Ganga Legend County,19000.0,97,2
3,3,0.0,Furnished,4,1,0,No,Magarpatta City Daffodils,35000.0,167,0
1,1,500.0,Unfurnished,0,1,0,No,On req,8500.0,227,2
4,5,0.0,Furnished,1,4,2,Yes,Panchshil One North,24768.73599,230,0
2,2,0.0,Semifurnished,6,1,0,No,Celestial City,16000.0,47,1
2,2,0.0,Furnished,9,1,1,Yes,Kumar Paradise,22000.0,152,0
1,2,543.0,Unfurnished,1,1,2,Yes,DSK Gandhakosh,14000.0,55,2
2,2,940.0,Unfurnished,3,1,2,No,Goel Ganga Satellite,22000.0,99,2
2,2,0.0,Unfurnished,7,1,0,No,Magarpatta City Iris,22000.0,168,2
2,2,1050.0,Semifurnished,3,1,2,Yes,Karia Konark Orchid,15500.0,128,1
1,1,517.0,Semifurnished,1,1,0,No,Dreams Aakruti,9000.0,63,1
1,1,600.0,Unfurnished,0,0,0,No,Somnath Nagar,12000.0,299,2
4,3,2000.0,Furnished,5,2,2,Yes,Kolte Patil 24K Glitterati,68000.0,140,0
2,2,866.0,Semifurnished,2,1,1,Yes,Pharande Puneville,15000.0,243,1
1,1,600.0,Unfurnished,1,1,0,Yes,Kothrud,14000.0,149,2
1,1,400.0,Unfurnished,0,1,2,No,Lohegaon,5000.0,162,2
2,2,800.0,Semifurnished,5,1,2,Yes,Kumar Kruti,22000.0,151,1
3,4,1800.0,Furnished,1,2,2,Yes,K Raheja Vistas Premiere,24768.73599,115,0
2,2,715.0,Semifurnished,9,1,1,Yes,Nyati Equatorial,15500.0,219,1
2,2,0.0,Semifurnished,6,1,0,No,Rohan Abhilasha,16000.0,276,1
1,1,450.0,Unfurnished,7,0,2,Yes,Puraniks Abitante,12000.0,261,2
1,1,0.0,Unfurnished,1,1,1,Yes,Mahesh Society,11000.0,173,2
1,1,0.0,Semifurnished,6,0,2,Yes,Magarpatta Heliconia,12000.0,171,1
3,3,920.0,Unfurnished,4,1,0,No,Puraniks Aldea,25000.0,262,2
2,2,1090.0,Furnished,4,1,2,Yes,Bramhacorp F Residences,25000.0,45,0
1,2,0.0,Unfurnished,1,0,0,No,Kothrud,13000.0,149,2
2,2,920.0,Furnished,3,1,1,Yes,K Raheja Gardens,24000.0,114,0
1,1,670.0,Semifurnished,4,0,2,Yes,Ishwar River Residency,9000.0,113,1
3,3,1332.0,Unfurnished,1,1,1,No,Pharande Puneville,21000.0,243,2
2,2,800.0,Unfurnished,6,1,1,Yes,Kukreja Heritage,17000.0,150,2
1,1,0.0,Unfurnished,0,0,0,No,Dhanori,8000.0,59,2
2,2,0.0,Semifurnished,1,1,2,No,Pudumjee Greens,26000.0,259,1
1,1,0.0,Unfurnished,2,0,0,No,Pimple Gurav,8000.0,246,2
3,3,0.0,Semifurnished,1,1,0,Yes,Kunal Aspiree,30000.0,158,1
1,1,0.0,Unfurnished,1,1,2,Yes,Majestique Magnum,9000.0,176,2
3,2,1000.0,Unfurnished,3,1,0,No,Atul Westernhills,24000.0,27,2
1,1,575.0,Unfurnished,0,0,0,No,Somnath Nagar,12100.0,299,2
1,2,0.0,Semifurnished,7,0,0,Yes,Goel Ganga Constella,16000.0,96,1
2,2,710.0,Unfurnished,3,1,1,Yes,Nano Homes,13000.0,210,2
2,2,800.0,Unfurnished,0,1,0,No,Wadgaon Sheri,14000.0,333,2
1,2,740.0,Furnished,1,1,0,Yes,Pride Purple Sapphire Park,21000.0,253,0
2,2,0.0,Unfurnished,2,1,2,Yes,Bhandari Nea Plus,17000.0,36,2
2,2,679.0,Furnished,1,1,2,Yes,Sonigara Kesar,19000.0,300,0
1,1,500.0,Unfurnished,1,1,0,No,On Req,8500.0,226,2
1,1,61.1,Unfurnished,2,0,0,No,Pimpri Chinchwad,9000.0,247,2
2,2,0.0,Semifurnished,4,1,0,Yes,On Req,21000.0,226,1
2,2,1000.0,Semifurnished,2,1,0,No,Forest County,30000.0,69,1
3,3,1350.0,Unfurnished,8,1,2,No,Kolte Patil 24K Glamore,25000.0,139,2
3,3,0.0,Unfurnished,7,1,2,Yes,Green valley,33000.0,103,2
3,3,1490.0,Semifurnished,1,1,1,Yes,Pristine Prism,31999.0,257,1
1,1,600.0,Semifurnished,3,1,0,Yes,Ram Society,14000.0,270,1
1,1,450.0,Unfurnished,2,1,1,Yes,Bunty Mayur Kilbil,11000.0,46,2
2,2,910.0,Furnished,2,1,2,Yes,Hermes Heritage,27000.0,107,0
2,3,889.0,Semifurnished,5,1,0,No,Kolte Patil Life Republic,16000.0,145,1
2,2,1046.0,Semifurnished,5,1,1,Yes,Pride World City,16000.0,255,1
3,3,0.0,Semifurnished,4,1,0,No,Amanora Park Town,30000.0,18,1
2,2,0.0,Unfurnished,5,1,0,No,Kate Puram,17000.0,131,2
1,1,0.0,Semifurnished,1,0,0,No,Viman Nagar,15000.0,329,1
2,2,828.61,Semifurnished,4,1,1,Yes,Pride Purple Park Ivory,22500.0,251,1
1,1,0.0,Unfurnished,3,0,0,No,Lohegaon,7000.0,162,2
3,3,0.0,Semifurnished,9,2,2,Yes,Kolte Patil 24K Glitterati,46000.0,140,1
2,2,960.0,Semifurnished,5,1,0,Yes,Mantra 7 Hills,12000.0,183,1
3,3,1300.0,Furnished,6,1,1,Yes,Peninsula Ashok Meadows,30000.0,242,0
3,4,2100.0,Furnished,2,1,2,Yes,Tata Housing Blue Hills,50000.0,309,0
3,3,1800.0,Unfurnished,3,1,2,Yes,Clover Highlands,34000.0,51,2
2,2,985.0,Semifurnished,6,1,2,Yes,Kumar Pebble Park,15000.0,154,1
1,1,0.0,Furnished,7,1,1,Yes,Greenland Society,5500.0,104,0
2,2,900.0,Semifurnished,6,1,1,Yes,Bramha Majestic,19000.0,42,1
2,2,600.0,Unfurnished,1,1,2,No,Ishwar River Residency,10500.0,113,2
3,3,0.0,Unfurnished,3,1,0,No,Dheeraj Jade Residences,16000.0,60,2
2,2,0.0,Semifurnished,1,1,1,Yes,Clover Heights,24000.0,50,1
1,1,460.0,Unfurnished,1,1,1,Yes,TCG The Cliff Garden,10001.0,307,2
2,2,1200.0,Unfurnished,2,1,0,Yes,GK Roseland Residency,20000.0,75,2
1,1,0.0,Semifurnished,0,0,0,No,New Sanghvi,9500.0,213,1
2,2,0.0,Semifurnished,3,1,1,Yes,Rohan Abhilasha,15000.0,276,1
2,2,64.27,Semifurnished,1,1,1,Yes,KFP Chesterfield,15000.0,118,1
3,2,1120.0,Unfurnished,4,1,2,Yes,Nyati Eternity,19000.0,222,2
3,3,1300.0,Unfurnished,5,1,2,Yes,Peninsula Ashok Meadows,23000.0,242,2
1,1,580.0,Unfurnished,4,1,1,Yes,DNV Elite Homes,10500.0,54,2
1,1,0.0,Unfurnished,2,0,0,No,On Req,6500.0,226,2
2,2,1100.0,Unfurnished,1,1,2,Yes,Bramhacorp F Residences,26000.0,45,2
3,3,1200.0,Semifurnished,9,1,2,Yes,The Omega Paradise Phase 1,19500.0,313,1
2,2,705.0,Unfurnished,1,1,0,No,Siddhi The Address,16500.0,297,2
1,2,444.0,Semifurnished,3,1,1,Yes,Kohinoor Tinsel County,12000.0,136,1
1,1,0.0,Semifurnished,2,1,2,Yes,Geras Adara,11000.0,87,1
2,2,425.0,Semifurnished,6,1,2,No,Xrbia Hinjewadi,5600.0,339,1
2,2,750.0,Unfurnished,7,1,1,Yes,Naiknavare Sylvan Heights,23000.0,207,2
2,2,950.0,Unfurnished,5,1,2,Yes,Raheja Vistas Phase 2,19000.0,266,2
3,3,0.0,Unfurnished,4,1,0,No,Puranik Aldea Espanola,24000.0,260,2
